city,street,housenumber,type,service_type,service_name,address,lat,lon
Маріуполь,улица Мамина Сибиряка,40,commercial,unknown,,"Маріуполь, улица Мамина Сибиряка, 40",47.14890579999999,37.6066327
Маріуполь,улица Мамина Сибиряка,47,commercial,unknown,,"Маріуполь, улица Мамина Сибиряка, 47",47.1498992,37.6058963
Маріуполь,"проспект Металлургов, 29, пом. 40, 56, 70",71,commercial,unknown,,"Маріуполь, проспект Металлургов, 29, пом. 40, 56, 70, 71",47.0938433,37.5431718
Маріуполь,"проспект Металлургов, 33, пом. 22",,commercial,unknown,,"Маріуполь, проспект Металлургов, 33, пом. 22",47.0952912,37.5436509
Маріуполь,проспект Металлургов,39/1-3,commercial,unknown,,"Маріуполь, проспект Металлургов, 39/1-3",47.0901351,37.542182
Маріуполь,проспект Металлургов,66,commercial,unknown,,"Маріуполь, проспект Металлургов, 66",47.1039914,37.5496825
Маріуполь,проспект Металлургов,69,commercial,unknown,,"Маріуполь, проспект Металлургов, 69",47.1042674,37.550594
Маріуполь,проспект Металлургов,88А,commercial,unknown,,"Маріуполь, проспект Металлургов, 88А",47.1045151,37.549026
Маріуполь,проспект Металлургов,95,commercial,unknown,,"Маріуполь, проспект Металлургов, 95",47.1068507,37.5537165
Маріуполь,проспект Металлургов,102,commercial,unknown,,"Маріуполь, проспект Металлургов, 102",47.10987799999999,37.5543188
Маріуполь,проспект Металлургов,102,commercial,unknown,,"Маріуполь, проспект Металлургов, 102",47.10987799999999,37.5543188
Маріуполь,проспект Металлургов,213,commercial,unknown,,"Маріуполь, проспект Металлургов, 213",47.1313781,37.5663914
Маріуполь,проспект Металлургов,219,commercial,unknown,,"Маріуполь, проспект Металлургов, 219",47.1328109,37.5666338
Маріуполь,проспект Металлургов,219,commercial,unknown,,"Маріуполь, проспект Металлургов, 219",47.1328109,37.5666338
Маріуполь,проспект Металлургов,223,commercial,unknown,,"Маріуполь, проспект Металлургов, 223",47.1335191,37.5668878
Маріуполь,улица Мичмана Павлова,10,commercial,unknown,,"Маріуполь, улица Мичмана Павлова, 10",47.0851586,37.5533668
Маріуполь,переулок Нахимова,5,commercial,unknown,,"Маріуполь, переулок Нахимова, 5",47.0967461,37.5374784
Маріуполь,переулок Нахимова,5А,commercial,unknown,,"Маріуполь, переулок Нахимова, 5А",47.0684136,37.5083732
Маріуполь,проспект Нахимова,66,commercial,unknown,,"Маріуполь, проспект Нахимова, 66",47.074252,37.5097521
Маріуполь,проспект Нахимова,68,commercial,unknown,,"Маріуполь, проспект Нахимова, 68",47.0745675,37.5104058
Маріуполь,проспект Нахимова,108,commercial,unknown,,"Маріуполь, проспект Нахимова, 108",47.0808543,37.51815029999999
Маріуполь,проспект Нахимова,124,commercial,unknown,,"Маріуполь, проспект Нахимова, 124",47.08334259999999,37.5207097
Маріуполь,проспект Нахимова,162,commercial,unknown,,"Маріуполь, проспект Нахимова, 162",47.0877692,37.5249253
Маріуполь,проспект Нахимова,162,commercial,unknown,,"Маріуполь, проспект Нахимова, 162",47.0877692,37.5249253
Маріуполь,проспект Нахимова,162,commercial,unknown,,"Маріуполь, проспект Нахимова, 162",47.0877692,37.5249253
Маріуполь,проспект Нахимова,162,commercial,unknown,,"Маріуполь, проспект Нахимова, 162",47.0877692,37.5249253
Маріуполь,проспект Нахимова,168,commercial,unknown,,"Маріуполь, проспект Нахимова, 168",47.0880309,37.5255989
Маріуполь,проспект Нахимова,174/1,commercial,unknown,,"Маріуполь, проспект Нахимова, 174/1",47.0912959,37.5298957
Маріуполь,улица Николаевская,27,commercial,unknown,,"Маріуполь, улица Николаевская, 27",47.0960285,37.55747059999999
Маріуполь,улица Николаевская,62,commercial,unknown,,"Маріуполь, улица Николаевская, 62",47.0980633,37.5492404
Маріуполь,улица Олимпийская,73,commercial,unknown,,"Маріуполь, улица Олимпийская, 73",47.1090096,37.6744301
Маріуполь,улица Олимпийская,71,commercial,unknown,,"Маріуполь, улица Олимпийская, 71",47.1089365,37.67342
Маріуполь,улица Орджоникидзе,29,commercial,unknown,,"Маріуполь, улица Орджоникидзе, 29",47.1028221,37.6514392
Маріуполь,улица Пашковского,8/1,commercial,unknown,,"Маріуполь, улица Пашковского, 8/1",47.1094361,37.6359229
Маріуполь,улица Пашковского,16,commercial,unknown,,"Маріуполь, улица Пашковского, 16",47.1092897,37.6383133
Маріуполь,улица Пашковского,16,commercial,unknown,,"Маріуполь, улица Пашковского, 16",47.1092897,37.6383133
Маріуполь,улица Пашковского,22/40,commercial,unknown,,"Маріуполь, улица Пашковского, 22/40",47.1091755,37.6404946
Маріуполь,улица Пашковского,24/27,commercial,unknown,,"Маріуполь, улица Пашковского, 24/27",47.1091157,37.64152
Маріуполь,улица Пашковского,34,commercial,unknown,,"Маріуполь, улица Пашковского, 34",47.1088925,37.6452418
Маріуполь,улица Писарева,28/2б,commercial,unknown,,"Маріуполь, улица Писарева, 28/2б",47.1062454,37.5489814
Маріуполь,улица Писарева,28/187,commercial,unknown,,"Маріуполь, улица Писарева, 28/187",47.1062454,37.5489814
Маріуполь,улица Писарева,28/188а,commercial,unknown,,"Маріуполь, улица Писарева, 28/188а",47.1062454,37.5489814
Маріуполь,проспект Победы,24/19,commercial,unknown,,"Маріуполь, проспект Победы, 24/19",47.10786359999999,37.6338889
Маріуполь,проспект Победы,24/19,commercial,unknown,,"Маріуполь, проспект Победы, 24/19",47.10786359999999,37.6338889
Маріуполь,проспект Победы,28,commercial,unknown,,"Маріуполь, проспект Победы, 28",47.107834,37.6348169
Маріуполь,проспект Победы,32/42,commercial,unknown,,"Маріуполь, проспект Победы, 32/42",47.1077424,37.6358304
Маріуполь,проспект Победы,43/21,commercial,unknown,,"Маріуполь, проспект Победы, 43/21",47.1069504,37.6380045
Маріуполь,проспект Победы,75,commercial,unknown,,"Маріуполь, проспект Победы, 75",47.1062349,37.6500952
Маріуполь,проспект Победы,85,commercial,unknown,,"Маріуполь, проспект Победы, 85",47.106112,37.6535028
Маріуполь,проспект Победы,90,commercial,unknown,,"Маріуполь, проспект Победы, 90",47.1062021,37.6640454
Маріуполь,проспект Победы,98,commercial,unknown,,"Маріуполь, проспект Победы, 98",47.1059777,37.6668117
Маріуполь,"проспект Победы, 99, пом. 144, 148, 149",151,commercial,unknown,,"Маріуполь, проспект Победы, 99, пом. 144, 148, 149, 151",47.1058418,37.6570153
Маріуполь,проспект Победы,109,commercial,unknown,,"Маріуполь, проспект Победы, 109",47.1053385,37.6644933
Маріуполь,проспект Победы,109,commercial,unknown,,"Маріуполь, проспект Победы, 109",47.1053385,37.6644933
Маріуполь,проспект Победы,111,commercial,unknown,,"Маріуполь, проспект Победы, 111",47.105284,37.665245
Маріуполь,проспект Победы,111,commercial,unknown,,"Маріуполь, проспект Победы, 111",47.105284,37.665245
Маріуполь,перекресток улица Приазовская и улица Курчатова,,commercial,unknown,,"Маріуполь, перекресток улица Приазовская и улица Курчатова",47.1591698,37.6088106
Маріуполь,переулок Рижский,27,commercial,unknown,,"Маріуполь, переулок Рижский, 27",47.1151638,37.6744515
Маріуполь,улица Варганова,2,commercial,unknown,,"Маріуполь, улица Варганова, 2",47.0979827,37.5464383
Маріуполь,улица Солнечная,5,commercial,unknown,,"Маріуполь, улица Солнечная, 5",47.097133,37.543367
Маріуполь,проспект Строителей,52,commercial,unknown,,"Маріуполь, проспект Строителей, 52",47.0887708,37.5193597
Маріуполь,проспект Строителей,52,commercial,unknown,,"Маріуполь, проспект Строителей, 52",47.0887708,37.5193597
Маріуполь,проспект Строителей,52,commercial,unknown,,"Маріуполь, проспект Строителей, 52",47.0887708,37.5193597
Маріуполь,проспект Строителей,60,commercial,unknown,,"Маріуполь, проспект Строителей, 60",47.1098945,37.5252391
Маріуполь,проспект Строителей,85А,commercial,unknown,,"Маріуполь, проспект Строителей, 85А",47.0899315,37.5237343
Маріуполь,проспект Строителей,92,commercial,unknown,,"Маріуполь, проспект Строителей, 92",47.09728399999999,37.5224929
Маріуполь,проспект Строителей,92,commercial,unknown,,"Маріуполь, проспект Строителей, 92",47.09728399999999,37.5224929
Маріуполь,проспект Строителей,96,commercial,unknown,,"Маріуполь, проспект Строителей, 96",47.09868700000001,37.523423
Маріуполь,проспект Строителей,101,commercial,unknown,,"Маріуполь, проспект Строителей, 101",47.0938165,37.5232458
Маріуполь,проспект Строителей,114,commercial,unknown,,"Маріуполь, проспект Строителей, 114",47.10391389999999,37.5240188
Маріуполь,проспект Строителей,115А,commercial,unknown,,"Маріуполь, проспект Строителей, 115А",47.0962541,37.5235596
Маріуполь,проспект Строителей,167,commercial,unknown,,"Маріуполь, проспект Строителей, 167",47.1176144,37.5286443
Маріуполь,улица Торговая,20,commercial,unknown,,"Маріуполь, улица Торговая, 20",47.0933219,37.5596743
Маріуполь,улица Урицкого,98,commercial,unknown,,"Маріуполь, улица Урицкого, 98",47.1220244,37.5186793
Маріуполь,улица Харлампиевская,13,commercial,unknown,,"Маріуполь, улица Харлампиевская, 13",47.09274980000001,37.5571158
Маріуполь,улица Черноморская,18,commercial,unknown,,"Маріуполь, улица Черноморская, 18",47.07980939999999,37.5131265
Маріуполь,улица Черноморская,20,commercial,unknown,,"Маріуполь, улица Черноморская, 20",47.08025019999999,37.513365
Маріуполь,бульвар Шевченко,52/54,commercial,unknown,,"Маріуполь, бульвар Шевченко, 52/54",47.1068766,37.55689470000001
Маріуполь,бульвар Шевченко,54,commercial,unknown,,"Маріуполь, бульвар Шевченко, 54",47.1069207,37.5563227
Маріуполь,бульвар Шевченко,91,commercial,unknown,,"Маріуполь, бульвар Шевченко, 91",47.109877,37.5530924
Маріуполь,бульвар Шевченко,240,commercial,unknown,,"Маріуполь, бульвар Шевченко, 240",47.1153948,37.5221582
Маріуполь,бульвар Шевченко,333,commercial,unknown,,"Маріуполь, бульвар Шевченко, 333",47.1177612,37.5153356
Маріуполь,бульвар Шевченко,357а,commercial,unknown,,"Маріуполь, бульвар Шевченко, 357а",47.1188041,37.5094526
Маріуполь,проспект Ленина,71А,commercial,unknown,,"Маріуполь, проспект Ленина, 71А",47.097133,37.543367
Маріуполь,проспект Ильича,136,commercial,unknown,,"Маріуполь, проспект Ильича, 136",47.1385324,37.5717023
Маріуполь,проспект Нахимова,200,commercial,unknown,,"Маріуполь, проспект Нахимова, 200",47.0956619,37.5357695
Маріуполь,проспект Ленина,99,commercial,unknown,,"Маріуполь, проспект Ленина, 99",47.097133,37.543367
Маріуполь,проспект Строителей,70А,commercial,unknown,,"Маріуполь, проспект Строителей, 70А",47.1098901,37.5252384
Маріуполь,проспект Победы,107А,commercial,unknown,,"Маріуполь, проспект Победы, 107А",47.1047363,37.6634922
Маріуполь,улица Кронштадтская,11,commercial,unknown,,"Маріуполь, улица Кронштадтская, 11",47.08188819999999,37.516369
Маріуполь,переулок Олимпийский,,commercial,unknown,,"Маріуполь, переулок Олимпийский",47.1080455,37.6675054
